目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
38.207.176.130:443,159.53,153.80,0.00,37.42,HK,香港·HK,Cloudflare,38.207.176.130:443
195.246.230.132:443,159.80,156.25,0.00,36.09,IS,IS·IS,Cloudflare,
46.32.186.242:2096,160.16,156.69,0.00,35.87,LV,LV·LV,Cloudflare,
46.8.237.105:8443,160.39,154.02,0.00,35.91,LV,LV·LV,Cloudflare,
38.180.100.80:443,160.67,154.27,0.00,30.24,RS,RS·RS,Cloudflare,
91.149.254.224:443,160.94,156.92,0.00,30.86,FI,芬兰·FI,Cloudflare,91.149.254.224:443
195.238.126.11:443,161.00,158.74,0.00,36.05,LT,LT·LT,Cloudflare,
185.179.82.246:443,161.06,157.08,0.00,21.47,BY,BY·BY,Cloudflare,
91.149.167.147:8443,161.52,158.27,0.00,28.17,BY,BY·BY,Cloudflare,
179.255.190.4:443,161.53,159.36,0.00,15.36,IT,意大利·IT,Cloudflare,179.255.190.4:443
178.214.211.99:443,161.54,156.89,0.00,36.01,RO,罗马尼亚·RO,Cloudflare,
46.22.211.155:8443,161.55,152.05,0.00,19.16,EE,EE·EE,Cloudflare,
80.209.232.78:443,161.88,160.28,0.00,34.42,LT,LT·LT,Cloudflare,
89.125.105.152:8443,162.06,155.88,0.00,37.47,FI,芬兰·FI,Cloudflare,89.125.105.152:8443
146.235.59.153:8443,162.07,159.28,0.00,32.44,BR,巴西·BR,Cloudflare,146.235.59.153:8443
38.207.164.219:443,162.12,161.23,0.00,36.10,HK,香港·HK,Cloudflare,
85.90.196.11:443,162.18,156.94,0.00,31.69,RO,罗马尼亚·RO,Cloudflare,85.90.196.11:443
103.85.113.68:2053,162.50,158.06,0.00,32.21,FI,芬兰·FI,Cloudflare,
87.239.250.142:443,162.57,160.05,0.00,32.68,FI,芬兰·FI,Cloudflare,87.239.250.142:443
94.183.235.247:8443,162.65,160.68,0.00,35.72,LV,LV·LV,Cloudflare,
91.215.153.27:443,162.68,157.41,0.00,178.03,BG,保加利亚·BG,Cloudflare,
46.8.64.51:443,162.83,158.12,0.00,36.83,LV,LV·LV,Cloudflare,
89.22.231.148:443,163.18,158.67,0.00,16.21,SE,瑞典·SE,Cloudflare,
45.221.113.40:443,163.22,162.52,0.00,35.78,HK,香港·HK,Cloudflare,45.221.113.40:443
185.39.30.18:2087,163.32,157.59,0.00,33.74,RO,罗马尼亚·RO,Cloudflare,185.39.30.18:2087
77.110.96.104:443,163.57,157.62,0.00,131.04,SE,瑞典·SE,Cloudflare,
89.46.236.118:443,163.66,160.57,0.00,34.30,RS,RS·RS,Cloudflare,
176.126.162.160:443,163.89,155.97,0.00,28.76,LV,LV·LV,Cloudflare,
87.239.250.244:8443,164.06,154.92,0.00,31.04,FI,芬兰·FI,Cloudflare,87.239.250.244:8443
212.192.23.56:443,164.38,162.05,0.00,31.34,LT,LT·LT,Cloudflare,
2.59.218.56:443,164.78,163.39,0.00,31.77,BG,保加利亚·BG,Cloudflare,
185.177.59.153:2053,165.39,164.41,0.00,27.29,BG,保加利亚·BG,Cloudflare,
95.182.115.50:8443,165.39,153.92,0.00,36.15,LV,LV·LV,Cloudflare,
176.118.198.24:8443,165.61,160.29,0.00,32.18,LT,LT·LT,Cloudflare,
161.33.76.218:2053,165.66,161.91,0.00,32.01,AU,澳大利亚·AU,Cloudflare,161.33.76.218:2053
193.106.196.250:443,166.08,162.23,0.00,31.64,PL,波兰·PL,Cloudflare,193.106.196.250:443
85.90.196.38:443,166.15,162.09,0.00,34.54,RO,罗马尼亚·RO,Cloudflare,85.90.196.38:443
185.203.119.26:2053,166.36,163.76,0.00,24.44,BG,保加利亚·BG,Cloudflare,185.203.119.26:2053
77.221.139.112:2096,166.41,158.56,0.00,35.18,SE,瑞典·SE,Cloudflare,77.221.139.112:2096
85.193.91.221:443,166.61,162.36,0.00,573.70,RU,俄罗斯·RU,Cloudflare,
85.193.91.84:443,166.64,163.68,0.00,5945.24,RU,俄罗斯·RU,Cloudflare,
43.168.16.112:443,166.88,163.17,0.00,38.15,HK,香港·HK,Cloudflare,
45.136.199.148:443,166.96,161.62,0.00,34.40,RO,罗马尼亚·RO,Cloudflare,45.136.199.148:443
185.214.99.241:8443,167.04,160.93,0.00,35.90,BG,保加利亚·BG,Cloudflare,185.214.99.241:8443
91.92.136.216:2053,167.12,163.63,0.00,30.02,BG,保加利亚·BG,Cloudflare,91.92.136.216:2053
91.227.77.149:8443,167.20,164.44,0.00,34.62,BG,保加利亚·BG,Cloudflare,91.227.77.149:8443
31.77.140.22:2083,167.65,163.76,0.00,28.88,FI,芬兰·FI,Cloudflare,31.77.140.22:2083
157.180.76.49:8443,167.66,159.68,0.00,29.76,FI,芬兰·FI,Cloudflare,
45.11.181.161:443,168.06,166.27,0.00,32.94,RO,罗马尼亚·RO,Cloudflare,45.11.181.161:443
2.59.218.214:443,168.60,163.54,0.00,15.60,BG,保加利亚·BG,Cloudflare,
185.86.77.181:8443,168.90,159.98,0.00,32.90,UA,乌克兰·UA,Cloudflare,185.86.77.181:8443
45.39.190.24:2053,169.10,166.85,0.00,34.57,HK,香港·HK,Cloudflare,45.39.190.24:2053
45.150.108.59:443,169.70,166.66,0.00,33.11,IL,以色列·IL,Cloudflare,45.150.108.59:443
176.113.81.56:443,169.74,165.62,0.00,31.19,RU,俄罗斯·RU,Cloudflare,176.113.81.56:443
93.152.207.239:443,169.78,160.23,0.00,29.08,FI,芬兰·FI,Cloudflare,
85.193.91.179:443,169.83,161.02,0.00,53.96,RU,俄罗斯·RU,Cloudflare,
79.137.206.249:443,170.12,162.40,0.00,32.87,FI,芬兰·FI,Cloudflare,79.137.206.249:443
77.110.97.142:443,171.82,162.92,0.00,31.91,SE,瑞典·SE,Cloudflare,
81.181.166.197:443,171.98,168.34,0.00,31.80,RO,罗马尼亚·RO,Cloudflare,81.181.166.197:443
85.121.5.147:443,172.48,168.03,0.00,28.12,MD,MD·MD,Cloudflare,
213.111.148.137:443,173.20,170.18,0.00,32.10,UA,乌克兰·UA,Cloudflare,213.111.148.137:443
45.12.143.25:443,173.91,170.52,0.00,33.56,TR,土耳其·TR,Cloudflare,45.12.143.25:443
109.120.132.6:443,174.18,160.78,0.00,31.39,SE,瑞典·SE,Cloudflare,109.120.132.6:443
91.239.6.51:8443,174.39,171.88,0.00,29.48,AL,AL·AL,Cloudflare,
93.185.165.175:8443,174.82,168.73,0.00,30.70,MD,MD·MD,Cloudflare,
139.162.37.6:443,175.35,173.59,0.00,33.30,SG,新加坡·SG,Cloudflare,139.162.37.6:443
176.42.68.134:2087,175.82,174.84,0.00,18.86,TR,土耳其·TR,Cloudflare,176.42.68.134:2087
158.160.38.71:443,176.09,171.47,0.00,778.32,RU,俄罗斯·RU,Cloudflare,
195.58.49.154:443,176.22,170.97,0.00,2437.18,RU,俄罗斯·RU,Cloudflare,
130.94.1.177:443,176.23,171.06,0.00,33.52,TR,土耳其·TR,Cloudflare,130.94.1.177:443
158.160.38.92:443,176.30,170.15,0.00,4495.00,RU,俄罗斯·RU,Cloudflare,
104.239.87.51:443,176.32,171.50,0.00,33.00,TR,土耳其·TR,Cloudflare,
54.151.242.250:443,177.35,176.36,0.00,34.34,SG,新加坡·SG,Cloudflare,54.151.242.250:443
212.192.6.248:443,177.73,176.56,0.00,32.97,TR,土耳其·TR,Cloudflare,212.192.6.248:443
134.255.210.74:443,177.83,171.57,0.00,30.01,CY,CY·CY,Cloudflare,
134.185.91.72:443,177.90,176.34,0.00,30.34,SG,新加坡·SG,Cloudflare,134.185.91.72:443
139.59.114.19:443,177.95,175.05,0.00,29.31,SG,新加坡·SG,Cloudflare,139.59.114.19:443
13.215.193.4:443,178.11,175.49,0.00,18.14,SG,新加坡·SG,Cloudflare,
176.42.68.134:2053,178.31,175.96,0.00,16.43,TR,土耳其·TR,Cloudflare,176.42.68.134:2053
172.104.49.9:443,178.95,177.43,0.00,33.96,SG,新加坡·SG,Cloudflare,
217.156.67.86:443,179.80,173.97,0.00,30.81,MD,MD·MD,Cloudflare,
168.144.46.234:443,180.23,175.49,0.00,31.36,SG,新加坡·SG,Cloudflare,
45.92.158.145:8443,180.32,179.01,0.00,32.66,SG,新加坡·SG,Cloudflare,45.92.158.145:8443
213.35.100.31:47112,181.03,175.37,0.00,32.72,SG,新加坡·SG,Cloudflare,
185.163.45.40:443,181.03,179.24,0.00,29.23,MD,MD·MD,Cloudflare,
8.222.195.154:443,181.40,180.08,0.00,61.76,SG,新加坡·SG,Cloudflare,
95.163.242.33:443,182.18,178.04,0.00,12262.05,RU,俄罗斯·RU,Cloudflare,
193.108.112.65:443,182.22,177.73,0.00,21.80,AL,AL·AL,Cloudflare,
43.163.6.45:443,182.50,179.74,0.00,832.44,SG,新加坡·SG,Cloudflare,
194.58.109.124:443,183.39,181.29,0.00,17664.17,RU,俄罗斯·RU,Cloudflare,
104.128.129.145:443,184.24,182.76,0.00,32.15,RU,俄罗斯·RU,Cloudflare,
212.192.14.28:443,184.59,177.35,0.00,32.90,RU,俄罗斯·RU,Cloudflare,212.192.14.28:443
45.139.226.157:443,185.53,183.34,0.00,30.90,SG,新加坡·SG,Cloudflare,45.139.226.157:443
43.174.192.1:443,185.54,184.05,0.00,37.22,BR,巴西·BR,Cloudflare,43.174.192.1:443
109.248.226.19:443,186.12,179.36,0.00,30.82,RU,俄罗斯·RU,Cloudflare,109.248.226.19:443
172.232.245.102:443,187.99,187.14,0.00,28.18,ID,印度尼西亚·ID,Cloudflare,印尼 172.232.245.102:443
194.55.166.65:443,188.29,182.83,0.00,15.99,CY,CY·CY,Cloudflare,
185.186.77.54:443,190.39,187.58,0.00,22.41,UN,未知·UN,Cloudflare,
194.55.166.65:2087,192.40,185.40,0.00,15.33,CY,CY·CY,Cloudflare,
138.124.107.216:443,193.40,191.67,0.00,28.79,TR,土耳其·TR,Cloudflare,138.124.107.216:443
91.198.108.211:2053,193.71,188.80,0.00,28.67,UN,未知·UN,Cloudflare,
91.239.206.65:2053,202.71,199.99,0.00,22.23,UN,未知·UN,Cloudflare,
94.43.238.112:2053,203.06,200.95,0.00,25.03,UN,未知·UN,Cloudflare,
103.197.185.178:443,204.58,203.99,0.00,28.30,VN,越南·VN,Cloudflare,103.197.185.178:443
206.53.48.65:443,207.66,204.39,0.00,18.91,UN,未知·UN,Cloudflare,
195.133.53.166:8443,208.69,204.96,0.00,27.25,UN,未知·UN,Cloudflare,
206.53.48.205:443,214.30,212.81,0.00,16.95,UN,未知·UN,Cloudflare,
95.188.72.67:443,214.49,208.85,0.00,28.29,UN,未知·UN,Cloudflare,
2.27.130.172:443,214.73,209.79,0.00,26.29,UN,未知·UN,Cloudflare,
95.163.242.182:443,214.77,180.42,0.00,1140.66,UN,未知·UN,Cloudflare,
46.247.41.93:8443,219.42,216.14,0.00,27.41,UN,未知·UN,Cloudflare,
91.201.214.197:443,220.20,216.39,0.00,24.90,UN,未知·UN,Cloudflare,
188.240.213.98:2053,222.34,207.02,0.00,16.95,UN,未知·UN,Cloudflare,
188.240.213.98:8443,225.78,221.57,0.00,22.55,UN,未知·UN,Cloudflare,
185.22.65.33:443,226.14,218.15,0.00,25.24,UN,未知·UN,Cloudflare,
92.60.75.189:443,227.42,217.33,0.00,21.39,UN,未知·UN,Cloudflare,
5.253.29.241:2053,227.51,227.32,0.00,26.53,IN,印度·IN,Cloudflare,5.253.29.241:2053
5.253.30.229:443,227.79,224.30,0.00,26.52,IN,印度·IN,Cloudflare,5.253.30.229:443
52.66.200.252:443,230.31,229.62,0.00,25.53,IN,印度·IN,Cloudflare,52.66.200.252:443
129.154.251.13:443,231.38,230.71,0.00,25.80,IN,印度·IN,Cloudflare,
85.237.211.194:8443,241.15,227.63,0.00,16.05,AE,阿联酋·AE,Cloudflare,85.237.211.194:8443
142.111.146.153:443,241.60,238.21,0.00,23.52,MY,马来西亚·MY,Cloudflare,142.111.146.153:443
216.173.67.119:443,242.54,241.23,0.00,23.90,UN,未知·UN,Cloudflare,
166.88.7.167:8443,242.86,239.74,0.00,23.21,MY,马来西亚·MY,Cloudflare,166.88.7.167:8443
108.165.65.12:443,243.12,240.86,0.00,23.32,MY,马来西亚·MY,Cloudflare,108.165.65.12:443
168.144.91.212:443,243.63,240.16,0.00,24.48,IN,印度·IN,Cloudflare,168.144.91.212:443
23.27.200.247:443,245.14,238.33,0.00,23.08,MY,马来西亚·MY,Cloudflare,23.27.200.247:443
147.78.0.186:2053,245.19,237.31,0.00,20.14,AE,阿联酋·AE,Cloudflare,147.78.0.186:2053
188.208.110.35:2096,246.28,239.61,0.00,21.41,AE,阿联酋·AE,Cloudflare,188.208.110.35:2096
196.250.130.51:8443,250.32,247.22,0.00,25.28,ZA,南非·ZA,Cloudflare,196.250.130.51:8443
139.84.236.69:443,262.28,258.09,0.00,22.70,ZA,南非·ZA,Cloudflare,139.84.236.69:443
156.38.157.171:2053,262.87,260.72,0.00,22.66,ZA,南非·ZA,Cloudflare,156.38.157.171:2053
139.84.166.44:443,264.23,261.88,0.00,22.44,IN,印度·IN,Cloudflare,139.84.166.44:443
156.38.157.171:8443,264.70,260.09,0.00,22.92,ZA,南非·ZA,Cloudflare,156.38.157.171:8443
